workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
llama31_70b_gqa_gqa_prefill_b1_s128,bf16,1,6400,180115.27700346956,0.7106559872627258,0.7342079877853394,30.475,83.14,55148.45055616351,0.15234378606675003,126.05733558178753,43.495347,35.53279936313629,2.124117,N/A
llama31_70b_gqa_gqa_prefill_b1_s256,bf16,1,12800,323834.1971365299,0.7905279994010925,0.8366079926490784,17.165,94.56733333333334,100511.17106060365,0.2776551686757007,248.44590163934427,37.638894,39.52639997005463,1.217415,N/A
llama31_70b_gqa_gqa_prefill_b1_s512,bf16,1,25600,551267.9285856802,0.92876797914505,0.9687039852142334,16.858,113.63866666666667,175726.0811233361,0.48543116332413283,483.37888198757764,43.572041,46.4383989572525,1.671893,N/A
llama31_70b_gqa_gqa_prefill_b1_s1024,bf16,1,51200,584795.3277016457,1.751039981842041,1.8339840173721313,25.209,153.34449999999998,196224.75057282584,0.5420573220243808,920.4494382022472,83.220022,87.55199909210205,3.056587,N/A
llama31_70b_gqa_gqa_prefill_b1_s2048,bf16,1,102400,557103.049348486,3.6761600971221924,3.734528064727783,78.927,188.2682,205626.0402499206,0.5680277354970182,1700.2264150943397,132.994612,183.80800485610962,23.267535,N/A
llama31_70b_gqa_gqa_prefill_b1_s4096,bf16,1,204800,496401.07015408314,8.236031532287598,14.301183700561523,177.958,228.32874999999999,216533.92739176136,0.5981600204192303,3042.7428571428572,248.494737,412.56961822509766,51.263711,N/A
llama31_70b_gqa_gqa_prefill_b1_s8192,bf16,1,409600,259075.74557832148,31.324159622192383,47.3620491027832,592.87,284.02570000000003,147783.3712935705,0.4082413571645594,5356.307692307692,432.358201,1581.004810333252,123.213977,N/A
llama31_70b_gqa_gqa_prefill_b4_s128,bf16,4,25600,130718.95350995997,3.9086079597473145,6.046720027923584,56.339,304.5526,40024.07715953266,0.11056374905948248,464.29813664596276,54.361149,195.8400011062622,17.517751,N/A
llama31_70b_gqa_gqa_prefill_b4_s256,bf16,4,51200,385505.0173029792,2.4995839595794678,22.87923240661621,85.027,285.79519999999997,119652.46747095266,0.3305316780965543,851.4157303370787,78.204213,132.81279802322388,3.522152,N/A
llama31_70b_gqa_gqa_prefill_b4_s512,bf16,4,102400,274461.37557765935,6.920191764831543,18.41561508178711,152.687,284.4337142857143,87489.2578527468,0.24168303274239447,1468.377358490566,117.331216,373.09439182281494,29.122445,N/A
llama31_70b_gqa_gqa_prefill_b4_s1024,bf16,4,204800,268961.8142705274,14.988287925720215,25.639936447143555,292.056,286.46441666666664,90248.60907537042,0.2493055499319625,2340.5714285714284,217.981489,761.4463806152344,45.812102,N/A
llama31_70b_gqa_gqa_prefill_b4_s2048,bf16,4,409600,266187.5355358418,30.710784912109375,46.53363037109375,605.97,300.84804545454546,98249.48716423484,0.2714074231056211,3465.846153846154,435.204587,1538.764762878418,92.510565,N/A
llama31_70b_gqa_gqa_prefill_b4_s4096,bf16,4,819200,234366.99127242327,69.16915130615234,85.2326431274414,1305.689,308.1084285714286,102232.66653203656,0.2824106810277253,4953.302325581395,796.643228,3495.372772216797,205.389453,N/A
