workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
mistral_7b_gqa_gqa_prefill_b1_s128,bf16,1,6400,469924.8328991465,0.27136000990867615,0.32153600454330444,24.743,81.8508,40405.65592972854,0.11161783406002358,124.21301775147928,42.551071,13.619199395179749,3.565187,N/A
mistral_7b_gqa_gqa_prefill_b1_s256,bf16,1,12800,683060.1224714655,0.37376001477241516,6.652927875518799,9.944,84.11066666666666,60164.19788237371,0.16619944166401576,241.61797752808988,55.559118,18.7391996383667,3.368934,N/A
mistral_7b_gqa_gqa_prefill_b1_s512,bf16,1,25600,1237623.7891833738,0.4136959910392761,0.45158401131629944,12.162,92.62266666666666,114201.3490082736,0.31547333980186076,459.7551020408163,32.717678,20.684799551963806,1.923238,N/A
mistral_7b_gqa_gqa_prefill_b1_s1024,bf16,1,51200,1618123.0010777835,0.6318079829216003,15.005696296691895,29.132,105.41933333333333,162885.59462190125,0.44996020613784876,847.448275862069,52.958782,31.641599535942078,2.219009,N/A
mistral_7b_gqa_gqa_prefill_b1_s2048,bf16,1,102400,1892147.5591165696,1.0813440084457397,17.510400772094727,16.726,114.70150000000001,222214.77812220022,0.6138529782381221,1509.0526315789473,118.723498,54.11840081214905,3.032763,N/A
mistral_7b_gqa_gqa_prefill_b1_s4096,bf16,1,204800,1546790.4694292722,2.6460158824920654,11.978752136230469,42.715,135.03,233557.54031120669,0.6451865754453223,2633.1428571428573,244.793139,132.4031949043274,62.940475,N/A
mistral_7b_gqa_gqa_prefill_b1_s8192,bf16,1,409600,1158748.5598325185,7.067647933959961,20.67865562438965,154.947,171.11925,252727.4734139881,0.6981421917513483,4630.260869565217,346.387095,353.48479747772217,56.051893,N/A
mistral_7b_gqa_gqa_prefill_b4_s128,bf16,4,25600,1246882.8007610543,0.4106239974498749,0.45260798931121826,8.521,181.677,107211.01313464751,0.296163019708971,428.40816326530614,40.650137,20.531199872493744,9.735618,N/A
mistral_7b_gqa_gqa_prefill_b4_s256,bf16,4,51200,1834862.32756515,0.5580800175666809,0.591871976852417,10.770924976889743,181.393,161615.3783990722,0.4464513215443983,741.5172413793103,48.958215,27.904000878334045,1.66311,N/A
mistral_7b_gqa_gqa_prefill_b4_s512,bf16,4,102400,2051282.1069287297,0.9963520169258118,1.0618879795074463,8.23,183.01566666666668,189281.4164168312,0.5228768409304729,1185.6842105263158,85.298325,49.91999864578247,11.164748,N/A
mistral_7b_gqa_gqa_prefill_b4_s1024,bf16,4,204800,1888574.0710876565,2.1678080558776855,3.5184640884399414,19.12,160.44400000000002,190110.0907358218,0.525165996507795,1755.4285714285713,137.094682,108.44160318374634,4.082057,N/A
mistral_7b_gqa_gqa_prefill_b4_s2048,bf16,4,409600,1635322.9772242894,5.004288196563721,9.347071647644043,87.155,177.84916666666666,192053.1677305849,0.5305336125154279,2493.217391304348,242.443336,250.47039985656738,45.377316,N/A
mistral_7b_gqa_gqa_prefill_b4_s4096,bf16,4,819200,827600.5031155687,19.777536392211914,31.924224853515625,409.507,276.887,124963.4916223071,0.3452030155312351,3596.487804878049,437.01035,989.8495674133301,98.648483,N/A
mistral_7b_gqa_gqa_prefill_b4_s8192,bf16,4,1638400,572092.6163060158,56.61491012573242,77.41542053222656,1140.96,316.3885135135135,124775.57814502493,0.3446839175276932,5532.25974025974,801.726816,2863.871955871582,208.545147,N/A
mistral_7b_gqa_gqa_prefill_b16_s128,bf16,16,102400,2125398.499355788,0.9553920030593872,16.717824935913086,59.604,317.18375000000003,182748.63226256057,0.504830475863427,1104.842105263158,61.594338,48.179200291633606,70.826726,N/A
mistral_7b_gqa_gqa_prefill_b16_s256,bf16,16,204800,1054018.438100885,3.738624095916748,11.049983978271484,89.755,291.6074,92838.34877100617,0.25645952699172975,1536.0,153.497232,194.30400133132935,24.397842,N/A
mistral_7b_gqa_gqa_prefill_b16_s512,bf16,16,409600,830823.5557197656,9.778176307678223,17.117183685302734,195.952,281.8376666666667,76663.984387092,0.21177896239528177,1958.9565217391305,242.852126,493.00479888916016,48.654633,N/A
mistral_7b_gqa_gqa_prefill_b16_s1024,bf16,16,819200,851018.5642345579,19.150848388671875,33.87596893310547,390.317,309.61107142857145,85666.33363303833,0.23664733047800643,2397.6585365853657,419.350797,962.611198425293,102.568788,N/A
mistral_7b_gqa_gqa_prefill_b16_s2048,bf16,16,1638400,895029.774501835,36.54963302612305,54.43174362182617,742.425,294.91476,105112.75497274006,0.29036672644403333,2978.909090909091,823.439195,1830.5536270141602,162.443643,N/A
mistral_7b_gqa_gqa_prefill_b16_s4096,bf16,16,3276800,1131261.7466590484,56.74803161621094,70.60275268554688,1179.195,297.15102631578947,170814.80408612522,0.4718640996854288,3958.55033557047,1764.821316,2896.588706970215,323.02655,N/A
mistral_7b_gqa_gqa_prefill_b16_s8192,bf16,16,6553600,1040963.5726626584,125.7154541015625,134.98265075683594,2654.298,322.7066835443038,227038.11918701054,0.627177124825996,5815.481228668942,3050.108064,6295.705413818359,1118.565286,N/A
mistral_7b_gqa_gqa_prefill_b32_s128,bf16,32,204800,2082248.8730560278,1.9619840383529663,2.0346879959106445,37.846,93.49924999999999,179038.487933715,0.49458145838042816,1499.4285714285713,135.696018,98.35519790649414,131.290788,N/A
mistral_7b_gqa_gqa_prefill_b32_s256,bf16,32,409600,1785315.8197852327,4.586495876312256,4.641791820526123,89.942,141.44959999999998,157251.3029679581,0.43439586455237045,1869.9130434782608,243.065335,229.4271945953369,52.691864,N/A
