workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
deepseek_v2_mla_mla_prefill_b1_s128,bf16,1,6400,159235.672443462,0.8028159737586975,0.8878080248832703,42.367,87.70033333333333,49193.74380390678,0.13589431990029496,123.58891904347381,28.712788,40.191999077796936,2.217998,N/A
deepseek_v2_mla_mla_prefill_b1_s256,bf16,1,12800,273224.04898858623,0.9308159947395325,3.1744000911712646,9.000606960806879,98.777,87273.89895199092,0.24108811865190863,239.46722963247288,23.348388,46.84799909591675,4.382756,N/A
deepseek_v2_mla_mla_prefill_b1_s512,bf16,1,25600,405186.39669003116,1.2636159658432007,1.3404159545898438,22.745,126.97966666666666,137923.01183192414,0.38100279511581253,453.2687915459349,50.496112,63.180798292160034,2.26664,N/A
deepseek_v2_mla_mla_prefill_b1_s1024,bf16,1,51200,403225.80244188645,2.5364480018615723,6.529024124145508,61.808,167.1885,154168.1533056428,0.4258788765349249,832.0356545961002,54.835293,126.9760012626648,3.172371,N/A
deepseek_v2_mla_mla_prefill_b1_s2048,bf16,1,102400,310029.45309449645,6.4389119148254395,13.508607864379883,123.967,232.88542857142858,144542.89395313855,0.3992897623014877,1485.771160513971,90.213862,330.29119968414307,11.563854,N/A
deepseek_v2_mla_mla_prefill_b1_s4096,bf16,1,204800,165665.77148610773,24.619007110595703,33.86982345581055,488.518,305.6751764705882,105031.31452909854,0.2901417528428137,2631.4719086200025,172.571036,1236.2239837646484,47.807983,N/A
deepseek_v2_mla_mla_prefill_b1_s8192,bf16,1,409600,142584.70545460534,57.37267303466797,83.5604476928711,1181.698,328.1332105263158,138241.51601122058,0.381882640914974,4741.117596432204,267.277667,2872.6783752441406,98.993163,N/A
deepseek_v2_mla_mla_prefill_b4_s128,bf16,4,25600,229568.40575901986,2.194432020187378,18.84262466430664,59.58,311.7268,70922.10661772623,0.1959174215959288,411.38026248508606,41.648949,111.51360273361206,9.572515,N/A
deepseek_v2_mla_mla_prefill_b4_s256,bf16,4,51200,223513.6306363073,4.2393598556518555,19.928064346313477,122.176,294.08033333333333,71395.27463543515,0.19722451556750042,695.1220055710306,60.979566,229.06880378723145,11.075315,N/A
deepseek_v2_mla_mla_prefill_b4_s512,bf16,4,102400,230840.26258911335,8.867839813232422,19.359743118286133,221.844,306.18033333333335,78576.63665031445,0.2170625321831891,1084.7758515194778,82.299209,443.59679222106934,21.031072,N/A
