workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
llama2_7b_mha_mha_prefill_b1_s128,bf16,1,6400,79921.67757381023,1.58515202999115,4.7329277992248535,71.195,206.9585,10894.513887872632,0.030095342231692357,124.17910447761194,27.22596,80.07839918136597,2.36058,N/A
llama2_7b_mha_mha_prefill_b1_s256,bf16,1,12800,549450.5479547651,0.46592000126838684,0.5089280009269714,22.22,202.22933333333333,76050.56682593249,0.21008443874566984,241.37142857142857,33.108312,23.296000063419342,3.712216,N/A
llama2_7b_mha_mha_prefill_b1_s512,bf16,1,25600,326797.38377489994,1.2759040594100952,5.1179518699646,54.823,211.1485,46603.37751452433,0.1287386119185755,458.10526315789474,34.183325,78.33600044250488,2.926494,N/A
llama2_7b_mha_mha_prefill_b1_s1024,bf16,1,51200,517866.3810160676,1.913856029510498,6.358016014099121,21.659,208.9575,78195.20520100379,0.2160088541464193,837.8181818181819,55.774782,98.86720180511475,4.95614,N/A
llama2_7b_mha_mha_prefill_b1_s2048,bf16,1,102400,839630.570683357,2.4227840900421143,4.923391819000244,62.392,222.60225,140866.6344455795,0.38913434929718094,1462.857142857143,79.015519,121.95839881896973,9.694748,N/A
llama2_7b_mha_mha_prefill_b1_s4096,bf16,1,204800,858000.8380304825,4.629504203796387,19.313663482666016,110.003,247.1975,172738.38465382106,0.4771778581597267,2457.6,160.486939,238.6944055557251,30.333613,N/A
llama2_7b_mha_mha_prefill_b1_s8192,bf16,1,409600,711174.3135459785,11.31827163696289,15.60371208190918,223.238,235.90255555555555,190904.40115220172,0.5273602241773528,4096.0,261.0897,575.9488105773926,48.26303,N/A
llama2_7b_mha_mha_prefill_b4_s128,bf16,4,25600,965250.990991072,0.5304319858551025,10.673151969909668,12.465,238.37533333333332,131578.07300682904,0.3634753397978703,437.89473684210526,41.729908,26.521599292755127,5.859528,N/A
llama2_7b_mha_mha_prefill_b4_s256,bf16,4,51200,1261034.0722550133,0.8069120049476624,10.996735572814941,15.468,248.6725,174542.28836205121,0.4821610175747271,768.0,50.52982,40.60159921646118,1.505445,N/A
llama2_7b_mha_mha_prefill_b4_s512,bf16,4,102400,1419446.3971482625,1.4417920112609863,16.939008712768555,44.115,232.666,202422.04984571456,0.5591769332754546,1243.4285714285713,72.953979,72.14080095291138,2.587489,N/A
