workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
starcoder_7b_mqa_mqa_prefill_b1_s128,bf16,1,6400,833333.2937521258,0.15360000729560852,0.25600001215934753,64.554,109.45575,59419.30384440117,0.16414172332707505,124.23193577163246,20.740504,7.680000364780426,6.816052,N/A
starcoder_7b_mqa_mqa_prefill_b1_s256,bf16,1,12800,1524390.26888568,0.16793599724769592,0.23347200453281403,10.109,110.87133333333334,111890.73354109496,0.30909042414667115,241.75379426644182,28.875994,8.396799862384796,1.904299,N/A
starcoder_7b_mqa_mqa_prefill_b1_s512,bf16,1,25600,2325581.473773353,0.22015999257564545,0.22323200106620789,14.417,116.34633333333333,180452.6200388092,0.4984879006596939,460.64437689969606,50.49019,11.007999628782272,1.893563,N/A
starcoder_7b_mqa_mqa_prefill_b1_s1024,bf16,1,51200,2444987.77375835,0.4188160002231598,0.44646400213241577,12.428,128.656,210227.9509882277,0.5807401961000765,852.4670050761422,61.525223,20.94080001115799,2.118269,N/A
starcoder_7b_mqa_mqa_prefill_b1_s2048,bf16,1,102400,2277904.3496967796,0.899071991443634,0.9676799774169922,12.947,140.37533333333332,234078.4714759898,0.6466256118121265,1532.0916030534352,121.073758,44.9535995721817,2.603361,N/A
starcoder_7b_mqa_mqa_prefill_b1_s4096,bf16,1,204800,1758241.6859762578,2.30297589302063,4.46668815612793,49.798,164.25225,239674.5044348513,0.6620842663946168,2716.734693877551,169.613681,116.48000478744507,31.051256,N/A
starcoder_7b_mqa_mqa_prefill_b1_s8192,bf16,1,409600,1207547.1840706023,6.738944053649902,13.381631851196289,159.156,205.79928571428573,245643.76924029907,0.6785739481776217,4874.993865030675,211.547503,339.19999599456787,45.07757,N/A
starcoder_7b_mqa_mqa_prefill_b4_s128,bf16,4,25600,2415094.3681412046,0.21196800470352173,0.48230400681495667,12.609155104763339,243.755,172203.87946742616,0.4757013244956524,423.2948328267477,35.35935,10.599999874830246,5.074406,N/A
starcoder_7b_mqa_mqa_prefill_b4_s256,bf16,4,51200,2754820.942731599,0.37171199917793274,0.6594560146331787,11.615582050136174,230.059,202204.73873920107,0.5585766263513842,727.7157360406092,49.288018,18.585599958896637,1.164146,N/A
starcoder_7b_mqa_mqa_prefill_b4_s512,bf16,4,102400,2684563.6623415123,0.7628800272941589,2.4821760654449463,10.261,216.91033333333334,208307.7079834526,0.5754356574128525,1156.8854961832062,92.168982,38.14400136470795,2.012681,N/A
starcoder_7b_mqa_mqa_prefill_b4_s1024,bf16,4,204800,2565747.279435902,1.5964159965515137,4.426752090454102,17.226,221.724,220611.24358110595,0.609423324809685,1713.6326530612246,132.541667,79.82079982757568,18.564139,N/A
starcoder_7b_mqa_mqa_prefill_b4_s2048,bf16,4,409600,1936577.0890364442,4.227071762084961,7.937024116516113,98.828,173.3022,199003.5292559209,0.5497335062318257,2462.6257668711655,284.221449,211.50720119476318,38.738448,N/A
starcoder_7b_mqa_mqa_prefill_b4_s4096,bf16,4,819200,1512859.241553329,10.730496406555176,16.712703704833984,219.846,233.4758,206225.22596923306,0.5696829446663897,3634.6757679180887,412.583405,541.4912223815918,81.073809,N/A
